global_energy_metrics_local_process_results_cpu_power_process_2,global_energy_metrics_global_experiment_results_gpu_energy_total,compute_metrics_compute_utilisation_cpu_usage_percent,global_energy_metrics_per-process_emissions_1,variables_backend,global_energy_metrics_local_process_results_gpu_energy_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_3,variables_sharding_config_fsdp_config_cpu_offload,model_architecture_total_params,variables_config_name,global_energy_metrics_local_process_results_ram_energy_process_3,inference_metrics_raw_inference_metrics_total_generated_tokens,setup_os,setup_available_gpu_count,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_local_process_results_total_energy_joules_process_2,global_energy_metrics_experiment_id,compute_metrics_compute_utilisation_gpu_utilization_percent_2,compute_metrics_compute_utilisation_gpu_utilization_percent_0,variables_number_input_prompts,inference_metrics_raw_inference_metrics_total_input_tokens,setup_python_version,compute_metrics_memory_gpu_current_memory_reserved_bytes,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_local_process_results_total_energy_kwh_process_1,setup_is_encoder_decoder,setup_date_time,variables_decoder_config_decoder_temperature,variables_accelerate_config_distributed_type,setup_gpu_model,global_energy_metrics_global_derived_quantities_tokens_per_joule,global_energy_metrics_global_experiment_results_cpu_energy_total,inference_metrics_inference_performance_total_inference_time_sec,variables_latency_simulation_burst_size,global_energy_metrics_local_process_results_total_energy_joules_process_0,global_energy_metrics_local_process_results_ram_power_process_2,variables_quantisation_cached_flops_for_quantised_models,global_energy_metrics_global_experiment_results_total_energy_kwh,inference_metrics_inference_performance_average_latency_ms_per_batch,compute_metrics_flops,variables_max_output_tokens,variables_accelerate_config_num_processes,variables_batching_options_batch_size___fixed_batching,inference_metrics_inference_performance_throughput_queries_per_sec,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_local_process_results_ram_power_process_1,global_energy_metrics_global_experiment_results_ram_power_avg,global_energy_metrics_local_process_results_total_energy_kwh_process_2,global_energy_metrics_local_process_results_total_energy_kwh_process_0,variables_quantisation_quantization,global_energy_metrics_local_process_results_cpu_power_process_0,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_gpu_energy_process_3,global_energy_metrics_local_process_results_ram_energy_process_2,global_energy_metrics_local_process_results_ram_energy_process_0,inference_metrics_inference_performance_throughput_tokens_per_sec,global_energy_metrics_local_process_results_cpu_energy_process_1,global_energy_metrics_local_process_results_cpu_power_process_3,setup_experiment_id,global_energy_metrics_local_process_results_gpu_power_process_1,global_energy_metrics_local_process_results_gpu_power_process_0,compute_metrics_memory_gpu_current_memory_allocated_bytes,global_energy_metrics_local_process_results_total_energy_joules_process_3,variables_batching_options_adaptive_batching,setup_cpu_model,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_local_process_results_gpu_power_process_2,variables_sharding_config_sharding_strategy,global_energy_metrics_local_process_results_cpu_energy_process_0,setup_task_type,setup_region,global_energy_metrics_local_process_results_cpu_power_process_1,compute_metrics_memory_gpu_max_memory_reserved_bytes,global_energy_metrics_global_derived_quantities_joules_per_flop,setup_available_cpu_count,variables_inference_type,global_energy_metrics_global_experiment_results_gpu_power_avg,compute_metrics_compute_utilisation_gpu_utilization_percent_1,global_energy_metrics_local_process_results_cpu_energy_process_3,variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_local_process_results_ram_power_process_0,global_energy_metrics_local_process_results_gpu_energy_process_1,variables_latency_simulation_delay_min,variables_quantisation_load_in_8bit,global_energy_metrics_global_derived_quantities_flops_per_joule,global_energy_metrics_global_experiment_results_ram_energy_total,variables_latency_simulation_simulate_burst,inference_metrics_raw_inference_metrics_number_input_prompts,model_architecture_architecture,global_energy_metrics_per-process_emissions_2,variables_fp_precision,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,global_energy_metrics_per-process_emissions_0,global_energy_metrics_local_process_results_total_energy_joules_process_1,variables_decoder_config_decoding_mode,variables_sharding_config_fsdp_config_use_orig_params,variables_batching_options_adaptive_max_tokens,global_energy_metrics_local_process_results_cpu_energy_process_2,variables_latency_simulation_delay_max,setup_model,variables_latency_simulation_simulate,variables_query_rate,variables_latency_simulation_burst_interval,variables_max_input_tokens,global_energy_metrics_local_process_results_total_energy_kwh_process_3,setup_country,global_energy_metrics_local_process_results_ram_energy_process_1,global_energy_metrics_per-process_emissions_3,variables_batching_options_max_batch_size___adaptive_batching,variables_quantisation_load_in_4bit,variables_decode_token_to_text,global_energy_metrics_global_experiment_results_total_energy_joules
NA,0.0037788024674839382,3.8,NA,pytorch,0.0037788024674839382,89.0,False,1100048384,num_processes_1,NA,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,NA,0109,100.0,2.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",12016680960,8818209280,NA,False,"April 11, 2025 at 01:21:09 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,1.0116215946093325,0.0007161488071873803,23.22631846799959,0,16195.779219528387,NA,1034544128000,0.004498827560980107,2903.289808499949,16949970993152,128,1,16,5.510989620518376,NA,NA,0.7018489837646484,NA,0.004498827560980107,False,112.5,0.0,NA,NA,3.876286308789185e-06,705.4066714263521,NA,NA,0109,NA,696.1754452422587,8818209280,NA,False,AMD EPYC 7742 64-Core Processor,0.9885119152544183,NA,NO_SHARD,0.0007161488071873803,text_generation,saxony,NA,12016680960,9.55504833965302e-10,128,pure_generative,696.1754452422587,67.0,NA,0,NA,NA,0.7018489837646484,NA,0,False,1046567180.4610815,3.876286308789185e-06,False,128,Unknown (no config attribute),NA,torch.float32,2013147136,0.001713828359355372,NA,NA,False,0,NA,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,NA,Germany,NA,NA,0,False,True,16195.779219528387
NA,0.010173025082858,4.4,0.0026951091362855013,pytorch,0.0041876055723040345,100.0,False,1100048384,num_processes_2,NA,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,NA,0110,100.0,11.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.007074705699660064,False,"April 11, 2025 at 01:22:13 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.3798087574315796,0.0018001530639375576,23.26491598999928,0,17668.558760585394,NA,1034544128000,0.011982638688711562,2908.11449874991,16949970993152,128,2,16,5.501846645611032,NA,0.6558823585510255,0.6785509586334229,NA,0.004907932989051498,False,112.5,0.0,NA,NA,3.8376475285984905e-06,704.2363706382121,0.00108366329471869,NA,0110,852.2836530668404,473.28516894085715,8818209280,NA,False,AMD EPYC 7742 64-Core Processor,2.6329040087500992,NA,NO_SHARD,0.0007164897692188676,text_generation,saxony,112.5,13212057600,2.5449895635095607e-09,128,pure_generative,662.7844110038488,100.0,NA,0,NA,NA,0.7012195587158203,0.005985419510553966,0,False,392928919.7638171,9.460541916009223e-06,False,128,Unknown (no config attribute),NA,torch.float32,2011279360,0.0018696770721791682,25468.94051877623,NA,False,0,NA,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,NA,Germany,5.622894387410731e-06,NA,0,False,True,43137.499279361626
112.5,0.017862027067388042,4.7,0.0020867372482729026,pytorch,0.004743234627918022,100.0,False,1100048384,num_processes_3,NA,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,26525.19543031332,0111,100.0,11.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.007924348708255511,False,"April 11, 2025 at 01:23:18 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.21911757797272036,0.002893203448562473,23.683534305002468,0,19719.79024486796,0.6519927978515625,1034544128000,0.020770178062472534,2960.4417881253084,16949970993152,128,3,16,5.4045987542055185,NA,0.6505751609802246,0.6679153442382812,0.0073681098417537,0.0054777195124633225,False,112.5,0.0,NA,5.2022448338566775e-06,3.902804201702759e-06,691.7886405383064,0.0011424874566250765,NA,0111,0.0,748.4481735873105,8818209280,NA,False,AMD EPYC 7742 64-Core Processor,4.56375982818,934.2520329595256,NO_SHARD,0.0007305820803435948,text_generation,saxony,112.5,13212057600,4.4113728014702915e-09,128,pure_generative,560.9000688489454,100.0,NA,0,0.006342773685326042,NA,0.7011780738830566,0.006776018754143978,0,False,226686803.63325998,1.4947546522015524e-05,False,128,Unknown (no config attribute),0.002806881444216072,torch.float32,2011983872,0.003018780640409937,28527.65534971984,NA,False,0,0.001020133911593802,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,NA,Germany,5.842497486456087e-06,NA,0,False,True,74772.64102490112
112.5,0.0266811644004699,4.7,0.003114502506474074,pytorch,0.0052870256185059555,100.0,False,1100048384,num_processes_4,4.854766540663868e-06,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,29432.23263763398,0112,100.0,0.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.008666538406520674,False,"April 11, 2025 at 01:24:25 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.14911871380707742,0.003819251637655896,23.531788863996553,0,21668.390966681363,0.6526765823364258,1034544128000,0.030520053418641464,2941.473607999569,16949970993152,128,4,16,5.439450470161194,702.5229945021922,0.6519670486450195,0.6654728651046753,0.00817562017712055,0.006018997490744823,False,112.5,0.0,0.006706771198745992,5.230916206363691e-06,3.8574063639027855e-06,696.2496601806329,0.0011160055792499293,112.5,0112,770.7608801305829,840.551155741769,8818209280,27572.030439319504,False,AMD EPYC 7742 64-Core Processor,6.706066424994462,590.5232843177822,NO_SHARD,0.0007281144658749667,text_generation,saxony,112.5,13212057600,6.482146332374197e-09,128,pure_generative,726.0895786730816,100.0,0.0009472713789687646,0,0.00714252904735195,0.6561455726623535,0.7011022567749023,0.0075448385358660025,0,False,154269889.74402446,1.9637380515674954e-05,False,128,Unknown (no config attribute),0.003301517805964051,torch.float32,2012934144,0.0022929370940992407,31199.538263474427,NA,False,0,0.0010278602135622352,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.007658897344255418,Germany,5.69429140474461e-06,0.0029176569432941015,0,False,True,109872.19230710928
112.5,0.20762943610341617,6.8,0.021466761021126598,pytorch,0.04709415795307402,100.0,False,1100048384,batching_1,5.046311185903239e-05,14722,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,230742.6993655187,0113,100.0,11.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13214154752,8818202112,0.06604255587451312,False,"April 11, 2025 at 01:30:52 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.0164395835035509,0.040920984311968285,300.51725118999457,0,202862.15953814346,0.6444683074951172,1034544128000,0.24875596413748174,2347.7910249218326,16949970993152,128,4,1,0.4259322867261127,464.52870404416996,0.6450848579406739,0.6560150384902954,0.06409519426819964,0.056350599871706514,False,112.5,0.0,0.051982999641922004,5.244484981317963e-05,4.826776472680989e-05,48.988868165483055,0.010927628552624859,112.5,0113,587.8680111887087,627.6912006847322,8818202112,224163.41084302493,False,AMD EPYC 7742 64-Core Processor,60.82879166519049,530.4466134840911,NO_SHARD,0.009208174153905695,text_generation,saxony,112.5,13214154752,5.283321554100218e-08,128,pure_generative,552.6336323504254,100.0,0.01023415136928138,0,0.053491719182230044,0.6436543464660646,0.6908526420593262,0.05506055932619007,0,False,18927486.993933424,0.00020554372209719926,False,128,Unknown (no config attribute),0.023720847600180655,torch.float32,1982603264,0.025158911660395772,237753.20114824723,NA,False,0,0.01055103023615635,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.06226761412306248,Germany,5.436799569817735e-05,0.024417064256470652,0,False,True,895521.4708949344
112.5,0.14762166781946198,5.4,0.017283995295277774,pytorch,0.03125217027949406,100.0,False,1100048384,batching_2,3.15745551523686e-05,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,163334.77638272734,0114,100.0,0.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13220446208,8818209280,0.047541887714538836,False,"April 11, 2025 at 01:35:11 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.02630956961090439,0.025233352171437164,170.67274896000342,0,131476.77786700852,0.6482806205749513,1034544128000,0.172983107607539,2666.7617025000536,16949970993152,128,4,2,0.7499732721243997,700.4589852230454,0.6500101089477539,0.6615936756134033,0.04537077121742426,0.036521327185280145,False,112.5,0.0,0.037197613646956035,3.3436677521666486e-05,2.7749520005385277e-05,95.99657883192316,0.007029716246906329,112.5,0114,443.86245866289323,607.8513475677056,8818209280,156776.83736506465,False,AMD EPYC 7742 64-Core Processor,38.00898360517213,494.3051053042842,NO_SHARD,0.0052414073857807485,text_generation,saxony,112.5,13220446208,3.6739837940651027e-08,128,pure_generative,561.6194741894822,100.0,0.0063199332881873176,0,0.03869503928933987,0.6484837532043457,0.6996002197265626,0.04047684460367201,0,False,27218410.75116838,0.000128087616639881,False,128,Unknown (no config attribute),0.013912799591232471,torch.float32,2007461888,0.01659003783172816,171150.7957723398,NA,False,0,0.006642295250562766,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.04354912149029574,Germany,3.532686396046065e-05,0.01811108212485357,0,False,True,622739.1873871402
112.5,0.068253844603032,5.2,0.006974976123252964,pytorch,0.015567889120967987,100.0,False,1100048384,batching_4,1.608493731436124e-05,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,65629.99591387348,0115,100.0,11.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13230931968,8818209280,0.022941018532538122,False,"April 11, 2025 at 01:37:39 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.056498967922251134,0.012236305917124927,89.14964829099335,0,65913.93632684255,0.6517624855041504,1034544128000,0.08055211056906289,2785.9265090935423,16949970993152,128,4,4,1.4357880536129006,495.6929873129303,0.6512947082519531,0.6639382839202881,0.018230554420520413,0.018309426757456265,False,112.5,0.0,0.01784459899789001,1.3405201116093497e-05,1.439778458209099e-05,183.78087086245128,0.0035828151012186693,112.5,0115,472.7769991652675,1115.4418224010076,8818209280,75855.99909077317,False,AMD EPYC 7742 64-Core Processor,17.69943835746011,652.8404590271028,NO_SHARD,0.002727139851906204,text_generation,saxony,112.5,13230931968,1.7108442142218713e-08,128,pure_generative,684.188066976577,100.0,0.003210426923343733,0,0.015501225178747996,0.6527552604675294,0.6999406814575195,0.019340131305426,0,False,58450675.50202527,6.196004890598859e-05,False,128,Unknown (no config attribute),0.008739381009970397,torch.float32,2008850432,0.006944929706497251,82587.66671713724,NA,False,0,0.0027159240406563197,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.0210711108585481,Germany,1.807212589344287e-05,0.008027039681563899,0,False,True,289987.59804862645
112.5,0.040386298142346094,5.5,0.00517643332074037,pytorch,0.008683476113442001,100.0,False,1100048384,batching_8,8.708636035448292e-06,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,39410.05121184942,0116,100.0,0.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.013588222393333429,False,"April 11, 2025 at 01:39:15 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.09698197483899165,0.006507840652593815,44.280597053002566,0,36197.32534946966,0.653660774230957,1034544128000,0.04692739159691079,2767.5373158126604,16949970993152,128,4,8,2.8906565972176885,646.758340510093,0.6512203216552734,0.6655797958374023,0.010947236447735952,0.010054812597074907,False,112.5,0.0,0.010616217381856058,7.451254564029873e-06,7.293617695400067e-06,370.00404444386413,0.0019374923980314523,112.5,0116,503.53311143181054,737.2303203200806,8818209280,44413.632571559414,False,AMD EPYC 7742 64-Core Processor,10.311194442680595,630.9017161978595,NO_SHARD,0.0013640428659375064,text_generation,saxony,112.5,13212057600,9.966896687736645e-09,128,pure_generative,629.6058721149609,100.0,0.0017121941408749992,0,0.009445673945422062,0.6565589904785156,0.7008790969848634,0.011640930701625973,0,False,100332132.59152256,3.325280197088576e-05,False,128,Unknown (no config attribute),0.0041703497247650104,torch.float32,2010365952,0.0046998259244821,48917.600616000345,NA,False,0,0.0014941112477498567,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.012337120158766503,Germany,9.799293676007533e-06,0.0038303808588556858,0,False,True,168938.60974887887
112.5,0.026492969805470196,4.7,0.002883779360661347,pytorch,0.005243008638848107,100.0,False,1100048384,batching_16,4.804021411821816e-06,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,29637.863396662004,0117,100.0,0.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.008556968293354792,False,"April 11, 2025 at 01:40:22 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.15004268314642866,0.0038193883464059586,23.435157784000694,0,21500.760054373106,0.6519126892089844,1034544128000,0.03033210960823475,2929.3947230000867,16949970993152,128,4,16,5.461879163765916,682.7791358029963,0.6602439880371094,0.666628360748291,0.008232739832406112,0.005972433348436974,False,112.5,0.0,0.0066234427987500455,5.343008105571681e-06,3.8693149639603445e-06,699.1205329620373,0.0011067888925934994,112.5,0117,451.59433799810654,860.5753758328476,8818209280,27251.885282532745,False,AMD EPYC 7742 64-Core Processor,6.664770177590643,606.9006549992879,NO_SHARD,0.0007255553946249053,text_generation,saxony,112.5,13212057600,6.442228994596008e-09,128,pure_generative,650.4623761583096,100.0,0.0009417213138750073,0,0.007182074078987993,0.6537795066833496,0.7005772590637207,0.00744444428888405,0,False,155225776.79850233,1.975145635859366e-05,False,128,Unknown (no config attribute),0.0031362622391551084,torch.float32,2011435008,0.002275198484087065,30805.08585607725,NA,False,0,0.0010453227453125465,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.0075699681340368735,Germany,5.735111877239817e-06,0.003259777071353508,0,False,True,109195.5945896451
112.5,0.017452158406159934,4.8,0.0014401219087438579,pytorch,0.0033637010242920373,100.0,False,1100048384,batching_32,2.832616519521128e-06,16384,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,4,112.5,19474.082680532763,0118,100.0,11.0,128,16384,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",13212057600,8818209280,0.005674262702585576,False,"April 11, 2025 at 01:41:15 PM",1.0,DistributedType.MULTI_GPU,4 x NVIDIA A100-PCIE-40GB,0.230549326264137,0.002276379219906005,13.354169559001093,0,13609.237095361303,0.6480460166931152,1034544128000,0.019740292391472746,3338.5423897502733,16949970993152,128,4,32,9.585021324948231,741.4726063721648,0.6504592895507812,0.6619337797164917,0.005409467411259101,0.0037803436376003616,False,112.5,0.0,0.004320352622945889,3.198334151074282e-06,2.2066525583964047e-06,1226.8827295933736,0.0006772934900938026,112.5,0118,528.6226220179184,898.9078684533573,8818209280,17554.387104099744,False,AMD EPYC 7742 64-Core Processor,4.337466589923211,545.2273874351157,NO_SHARD,0.00041443596074992677,text_generation,saxony,112.5,13212057600,4.19263564745999e-09,128,pure_generative,678.557621069639,100.0,0.000553033400562299,0,0.0047746527086080515,0.648500919342041,0.7007288932800293,0.004993452050313957,0,False,238513451.7009191,1.1754765406807447e-05,False,128,Unknown (no config attribute),0.0021616103765499752,torch.float32,2011807744,0.0020607366103191547,20427.345729308072,NA,False,0,0.0006316163684999766,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,1.0,0.0,128,0.004876218640027707,Germany,3.5171621778156316e-06,0.001857595490918555,0,False,True,71065.05260930189
