variables_latency_simulation_burst_size,variables_latency_simulation_simulate,inference_metrics_raw_inference_metrics_number_input_prompts,global_energy_metrics_local_process_results_ram_energy_process_0,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,compute_metrics_compute_utilisation_gpu_utilization_percent_3,inference_metrics_inference_performance_throughput_queries_per_sec,variables_config_name,global_energy_metrics_global_experiment_results_gpu_power_avg,global_energy_metrics_local_process_results_ram_power_process_1,setup_available_cpu_count,setup_experiment_id,variables_quantisation_load_in_4bit,variables_number_input_prompts,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_local_process_results_cpu_energy_process_1,variables_max_input_tokens,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_local_process_results_gpu_energy_process_3,setup_cpu_model,global_energy_metrics_global_experiment_results_cpu_energy_total,variables_inference_type,variables_sharding_config_fsdp_config_cpu_offload,model_architecture_architecture,variables_max_output_tokens,inference_metrics_inference_performance_total_inference_time_sec,variables_accelerate_config_num_processes,global_energy_metrics_local_process_results_cpu_power_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_2,setup_available_gpu_count,variables_quantisation_load_in_8bit,compute_metrics_memory_gpu_current_memory_reserved_bytes,variables_backend,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_local_process_results_total_energy_joules_process_3,variables_query_rate,inference_metrics_raw_inference_metrics_total_generated_tokens,variables_accelerate_config_distributed_type,compute_metrics_memory_gpu_current_memory_allocated_bytes,setup_date_time,variables_decoder_config_decoding_mode,setup_task_type,global_energy_metrics_local_process_results_gpu_energy_process_2,inference_metrics_raw_inference_metrics_total_input_tokens,setup_country,variables_batching_options_adaptive_max_tokens,variables_latency_simulation_simulate_burst,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_ram_power_process_2,compute_metrics_compute_utilisation_cpu_usage_percent,global_energy_metrics_local_process_results_cpu_energy_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_0,variables_quantisation_quantization,global_energy_metrics_local_process_results_total_energy_kwh_process_2,global_energy_metrics_local_process_results_total_energy_kwh_process_1,variables_batching_options_adaptive_batching,setup_python_version,inference_metrics_inference_performance_throughput_tokens_per_sec,global_energy_metrics_local_process_results_total_energy_joules_process_1,variables_latency_simulation_delay_max,global_energy_metrics_local_process_results_cpu_power_process_0,global_energy_metrics_global_derived_quantities_flops_per_joule,variables_latency_simulation_burst_interval,global_energy_metrics_local_process_results_gpu_power_process_1,global_energy_metrics_local_process_results_ram_power_process_0,variables_fp_precision,global_energy_metrics_local_process_results_cpu_power_process_2,global_energy_metrics_global_experiment_results_total_energy_joules,global_energy_metrics_local_process_results_gpu_power_process_0,global_energy_metrics_local_process_results_cpu_power_process_1,compute_metrics_compute_utilisation_gpu_utilization_percent_0,global_energy_metrics_local_process_results_cpu_energy_process_0,setup_region,model_architecture_total_params,variables_decoder_config_decoder_temperature,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_ram_energy_process_3,compute_metrics_memory_gpu_max_memory_reserved_bytes,variables_batching_options_max_batch_size___adaptive_batching,global_energy_metrics_local_process_results_ram_energy_process_1,variables_latency_simulation_delay_min,global_energy_metrics_local_process_results_gpu_power_process_2,setup_gpu_model,global_energy_metrics_global_experiment_results_ram_power_avg,variables_sharding_config_sharding_strategy,variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_ram_energy_process_2,global_energy_metrics_per-process_emissions_2,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_per-process_emissions_3,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_local_process_results_cpu_energy_process_2,global_energy_metrics_global_derived_quantities_tokens_per_joule,global_energy_metrics_local_process_results_gpu_energy_process_1,setup_is_encoder_decoder,setup_model,variables_decode_token_to_text,setup_os,global_energy_metrics_global_experiment_results_total_energy_kwh,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_experiment_id,global_energy_metrics_local_process_results_total_energy_kwh_process_0,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_batching_options_batch_size___fixed_batching,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_per-process_emissions_0,variables_quantisation_cached_flops_for_quantised_models,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_local_process_results_ram_power_process_3,compute_metrics_flops,global_energy_metrics_per-process_emissions_1,compute_metrics_compute_utilisation_gpu_utilization_percent_1
0,False,128,2.705767955914554e-06,2715783168,100.0,11.535603974900466,A1_Max_Throughput_Exploit,487.2355505176731,0.9787745475769044,128,0078,False,128,1577541632,433.5161846534261,0.0005571450775936456,128,4.60125633465738e-08,0.003750795500633841,AMD EPYC 7742 64-Core Processor,0.0021272513253430816,pure_generative,False,Unknown (no config attribute),128,11.096081339001103,4,112.5,11149.68265916315,4,True,3577741312,pytorch,False,16205.099626255937,1.0,16384,DistributedType.MULTI_GPU,1577541632,"April 11, 2025 at 09:26:09 AM",greedy,text_generation,0.0026120998674559193,16384,Germany,0,False,0.0,0.9817714691162109,5.5,0.0007446906289998197,8103.220082642299,True,0.003097134071989764,0.003373340237879046,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1476.5573087872597,12144.024856364565,0,112.5,21733194.746570498,0.0,0.0,0.9477167129516602,torch.float16,112.5,47602.027224425954,791.7881343381644,112.5,0.0,0.00034414134287476375,saxony,1100048384,1.0,11096.081339001103,5.9304332152104325e-06,3577741312,0,4.304855219499009e-06,0,723.637883079102,4 x NVIDIA A100-PCIE-40GB,0.9732427597045898,NO_SHARD,0,3.7599286589919783e-06,0.0008574782473562732,100.0,0.0012850739636200226,112.5,0.0004812742758748527,0.34418702217776354,0.0028118903050659005,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.01322278534011832,2.905397169459592,0078,0.0022508944674006384,0.011078833029725621,256,0.004501416562848871,0.0011798532247245007,1034544128000,0.00190404735656996,1.6700985049615972e-05,0.984708309173584,1034544128000,0.0017148146396172774,100.0
0,False,128,1.3066171583701677e-06,2638508032,2.0,25.752464188515393,A2_Precision_Minimalist,151.41010591562593,0.9677953720092773,128,0079,True,128,1087688704,NA,0.00020243077978125256,128,5.966169347392208e-09,NA,AMD EPYC 7742 64-Core Processor,0.0003929105400626441,pure_generative,False,Unknown (no config attribute),128,4.970398135999858,2,NA,NA,2,False,2621440000,pytorch,False,NA,1.0,16384,DistributedType.MULTI_GPU,1087688704,"April 11, 2025 at 09:26:45 AM",greedy,text_generation,NA,16384,Germany,0,False,0.0,NA,3.6,NA,2853.0136888481184,True,NA,0.0009220143822639117,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",3296.3154161299703,3319.251776150082,0,112.5,167611735.7341016,0.0,302.82021183125187,0.9203081130981445,torch.float16,NA,6172.2654649982005,0.0,112.5,2.0,0.00019047976028139152,saxony,615606272,1.0,4970.398135999858,NA,2621440000,0,1.5241391465744703e-06,0,NA,4 x NVIDIA A100-PCIE-40GB,0.9440517425537109,NO_SHARD,0,NA,NA,5.0,NA,112.5,NA,2.6544548501535936,0.0007180594633360848,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0017145181847217222,0.3767251870726441,0079,0.0007925038024578107,0.001318776888354134,128,NA,0.000301904323546303,1034544128000,0.0006007174250180491,2.830756304944638e-06,NA,1034544128000,0.0003512413789234372,100.0
0,False,128,2.0243325301638516e-06,2673549312,1.0,13.42927280525945,A3_Quantisation_Gaming,179.70445432121693,NA,128,0080,True,128,1087688704,NA,NA,128,2.370349153409173e-09,NA,AMD EPYC 7742 64-Core Processor,0.00029652530524992924,pure_generative,False,Unknown (no config attribute),128,9.53141706599854,1,NA,NA,1,False,1986002944,pytorch,False,NA,1.0,16384,DistributedType.MULTI_GPU,1087688704,"April 11, 2025 at 09:27:20 AM",top_k,text_generation,NA,16384,Germany,0,False,0.0,NA,3.6,NA,2452.2307979692314,True,NA,NA,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1718.9469190732095,NA,0,112.5,421878776.1970603,0.0,NA,0.9330525398254395,torch.float16,NA,2452.2307979692314,179.70445432121693,NA,0.0,0.00029652530524992924,saxony,615606272,1.0,4765.70853299927,NA,1986002944,0,NA,0,NA,4 x NVIDIA A100-PCIE-40GB,0.9330525398254395,NO_SHARD,50,NA,NA,100.0,NA,112.5,NA,6.681263449414345,NA,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0006811752216581198,0.14967228991511422,0080,0.0006811752216581198,0.0003826255838780268,64,NA,0.00025949370069066073,1034544128000,0.0003826255838780268,2.0243325301638516e-06,NA,1034544128000,NA,100.0
0,False,128,1.5206017253776847e-05,2712358912,50.0,1.8326260944056045,default,52.7940358583052,NA,128,0081,False,128,1576560640,NA,NA,128,1.0874282908643433e-08,NA,AMD EPYC 7742 64-Core Processor,0.0021441061350319607,pure_generative,False,Unknown (no config attribute),128,69.84512574100154,1,NA,NA,1,True,2707423232,pytorch,False,NA,1.0,16384,DistributedType.MULTI_GPU,1576560640,"April 11, 2025 at 09:28:53 AM",greedy,text_generation,NA,16384,Germany,0,False,0.0,NA,4.3,NA,11249.925529347824,True,NA,NA,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",234.57614008391738,NA,0,112.5,91960086.78467885,0.0,NA,0.9469542503356935,torch.float16,NA,11249.925529347824,52.7940358583052,NA,0.0,0.0021441061350319607,saxony,1100048384,1.0,8730.640717625192,NA,2707423232,0,NA,0,NA,4 x NVIDIA A100-PCIE-40GB,0.9469542503356935,NO_SHARD,0,NA,NA,47.0,NA,112.5,NA,1.456365196130308,NA,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0031249793137077286,0.6866409624846084,0081,0.0031249793137077286,0.0009656671614219903,16,NA,0.0011904608695569592,1034544128000,0.0009656671614219903,1.5206017253776847e-05,NA,1034544128000,NA,100.0
0,False,128,1.6523179653325099e-06,3099574272,100.0,20.368564055346667,A5_Parallel_Overdrive,687.2291642782061,0.8518009185791016,128,0082,False,128,4419853312,440.4131891482038,0.0002480366241561569,128,1.5622334162759444e-09,0.0017498541776600485,AMD EPYC 7742 64-Core Processor,0.0009636902269058965,pure_generative,False,Unknown (no config attribute),128,6.284193605999462,4,112.5,6739.469000837106,4,False,6870269952,pytorch,False,7294.626019281514,1.0,16384,DistributedType.MULTI_GPU,4419853312,"April 11, 2025 at 09:29:30 AM",greedy,text_generation,0.0016276999132699976,16384,Germany,0,False,0.0,0.8527650833129883,5.2,0.000274539258937466,5591.718675516177,False,0.0018720747224547517,0.0019038881652153365,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",2607.1761990843734,6853.997394775211,0,112.5,640109211.326309,0.0,693.727217305351,1.0811333656311035,torch.float16,112.5,26479.81109041001,897.963024774778,112.5,3.0,0.00019837984265609523,saxony,1100048384,1.0,3142.096802999731,1.891568758461624e-06,6870269952,0,1.6763288311307912e-06,0,716.8132258844915,4 x NVIDIA A100-PCIE-40GB,0.9150867462158203,NO_SHARD,0,1.640308028575637e-06,0.0005917125637327466,100.0,0.0007131668655191377,112.5,0.0002427345011561784,0.6187355319137329,0.0016541752122280484,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.007355503080669447,1.6161994073736579,0082,0.0015532551876433825,0.006384952330180049,64,0.002026285005355976,0.0007719132727903591,1034544128000,0.0013532230270219547,6.860523583500562e-06,0.8746476173400879,16949970993152,0.0007252861965387824,100.0
0,True,128,1.4314758062287136e-05,2005184512,3.0,1.486297211987668,R2_Low_Latency_Chatbot_Deployment,171.9073731821482,NA,128,0086,False,128,8818209280,NA,NA,128,1.2139757788130758e-09,NA,AMD EPYC 7742 64-Core Processor,0.002647501197999986,pure_generative,False,Unknown (no config attribute),128,86.12005658600538,1,NA,NA,1,False,12343836672,pytorch,False,NA,1.0,16384,DistributedType.MULTI_GPU,8818209280,"April 11, 2025 at 09:32:17 AM",top_p,text_generation,NA,16384,Germany,0,False,0.9,NA,3.6,NA,20576.854237270745,False,NA,NA,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",190.2460431344215,NA,0.05,112.5,823739663.8816932,0.0,NA,0.6985688209533691,torch.float32,NA,20576.854237270745,171.9073731821482,NA,11.0,0.002647501197999986,saxony,1100048384,1.0,2691.251768312668,NA,12343836672,0,NA,0.01,NA,4 x NVIDIA A100-PCIE-40GB,0.6985688209533691,NO_SHARD,0,NA,NA,1.0,NA,112.5,NA,0.796234439486078,NA,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.005715792843686318,1.2559115135052945,0086,0.005715792843686318,0.0030539768876240436,4,NA,0.002177431283802303,1034544128000,0.0030539768876240436,1.4314758062287136e-05,NA,16949970993152,NA,100.0
5,True,128,9.365473209110881e-06,2711977984,92.0,2.9881214160176093,R3_Balanced_Enterprise_Service,496.98076713038927,0.992684841156006,128,0087,False,128,1576947200,476.32876293233716,0.0018390927513127055,128,1.4069117334549626e-07,0.011556803967657958,AMD EPYC 7742 64-Core Processor,0.007512808989592487,pure_generative,False,Unknown (no config attribute),128,42.836278109003615,4,112.5,32807.53285088786,4,True,2839543808,pytorch,False,51334.50039168825,1.0,16384,DistributedType.MULTI_GPU,1576947200,"April 11, 2025 at 09:34:13 AM",top_k,text_generation,0.007424444272884079,16384,Germany,0,True,0.0,0.9905705451965332,5.1,0.0026813578049993806,25516.342786501657,True,0.009113203569691072,0.00997023644914875,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",382.479541250254,35892.8512169355,1.5,112.5,7107766.437801278,4.0,512.8752165787708,0.9464263916015625,torch.float16,112.5,145551.22724601327,404.9142693514381,112.5,10.0,0.0013165540245933017,saxony,1100048384,1.0,10709.069527250904,2.1421669478282806e-05,2839543808,0,1.431359326600353e-05,0.5,593.8048196590107,4 x NVIDIA A100-PCIE-40GB,0.9806656837463379,NO_SHARD,50,1.2954888119891948e-05,0.003471674899873814,100.0,0.0037981615753032165,112.5,0.0016758044086870997,0.11256517935302238,0.008116830104570039,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.040430896457225904,8.883741897339677,0087,0.00708787299625046,0.03286003184356012,32,0.014259583442135624,0.005432188312281566,1034544128000,0.005761953498448047,5.8055624073289166e-05,0.9929809570312501,1034544128000,0.002700125217921613,100.0
5,True,128,1.4060427717230866e-05,3103125504,17.0,2.3754129768343546,R4_High_Load_Cloud_API_Deployment,80.62112165699624,NA,128,0088,False,128,4419853312,NA,NA,128,5.654260601825751e-10,NA,AMD EPYC 7742 64-Core Processor,0.0016576638684690577,pure_generative,False,Unknown (no config attribute),128,53.885366985989094,1,NA,NA,1,False,6339690496,pytorch,False,NA,1.0,16384,DistributedType.MULTI_GPU,4419853312,"April 11, 2025 at 09:35:31 AM",greedy,text_generation,NA,16384,Germany,0,True,0.0,NA,2.4,NA,9583.955318866865,False,NA,NA,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",304.0528610347974,NA,0.2,112.5,1768577839.6508675,2.0,NA,1.08123779296875,torch.float16,NA,9583.955318866865,80.62112165699624,NA,4.0,0.0016576638684690577,saxony,1100048384,1.0,3367.8354366243184,NA,6339690496,0,NA,0.05,NA,4 x NVIDIA A100-PCIE-40GB,1.08123779296875,NO_SHARD,0,NA,NA,3.0,NA,112.5,NA,1.7095238296600408,NA,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0026622098107963515,0.5849582103800577,0088,0.0026622098107963515,0.0009904855146100622,8,NA,0.0010141688274228702,1034544128000,0.0009904855146100622,1.4060427717230866e-05,NA,16949970993152,NA,10.0
8,True,128,0.00021175804968111777,2694705152,26.0,0.13114470671819647,R5_Real_Time_Mobile_Inference,39.81841206007259,NA,128,0089,False,128,1576178688,NA,NA,128,1.3935932639509075e-07,NA,AMD EPYC 7742 64-Core Processor,0.029886566713812467,pure_generative,False,Unknown (no config attribute),128,976.0210930590297,1,NA,NA,1,True,2665480192,pytorch,False,NA,1.0,14578,DistributedType.MULTI_GPU,1576178688,"April 11, 2025 at 09:52:12 AM",top_p,text_generation,NA,16384,Germany,0,True,0.9,NA,3.5,NA,144173.37280407656,True,NA,NA,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",14.936152613577097,NA,0.6,112.5,7175694.8448857255,5.0,NA,0.9397516250610353,torch.float16,NA,144173.37280407656,39.81841206007259,NA,0.0,0.029886566713812467,saxony,1100048384,1.0,7625.164789523669,NA,2665480192,0,NA,0.2,NA,4 x NVIDIA A100-PCIE-40GB,0.9397516250610353,NO_SHARD,0,NA,NA,78.0,NA,112.5,NA,0.10111437165176593,NA,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.040048159112243485,9.889790972978226,0089,0.040048159112243485,0.009949834348749964,1,NA,0.015256346213809157,1034544128000,0.009949834348749964,0.00021175804968111777,NA,1034544128000,NA,100.0
0,True,128,3.192513820304637e-06,3104542720,100.0,10.348824394182127,R6_Medium_Scale_Language_Model_Serving,586.8858089095548,0.881828784942627,128,0090,False,128,4419853312,631.0500663525255,0.0003943098123747859,128,1.7901900012716427e-09,0.0017165563732439715,AMD EPYC 7742 64-Core Processor,0.0015443334880626482,pure_generative,False,Unknown (no config attribute),128,12.368554642009258,4,112.5,7476.568759862806,4,False,4922015744,pytorch,False,7575.189696078065,1.0,16384,DistributedType.MULTI_GPU,4419853312,"April 11, 2025 at 09:52:53 AM",greedy,text_generation,0.0016935530215078654,16384,Germany,0,False,0.0,0.8705105781555176,5.5,0.00038510656375001425,7559.956569657937,False,0.002076824655517446,0.002147764880051744,False,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",1324.6495224553123,7731.953568186279,0.1,112.5,558599924.7508144,0.0,527.5229200677826,1.0818428993225098,torch.float16,112.5,30343.668593785085,622.4605274541221,112.5,4.0,0.0003841798854377885,saxony,1100048384,1.0,3092.1386605023145,2.5564230276992236e-06,4922015744,0,2.6703337170041216e-06,0.01,566.5097217637889,4 x NVIDIA A100-PCIE-40GB,0.9264153242111206,NO_SHARD,0,2.5344075095210564e-06,0.0008016023652002609,100.0,0.0007999904042253308,112.5,0.00038073722650005945,0.539947895534152,0.0017507847339599536,False,TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.00842879683160697,1.8520305538198907,0090,0.0020999879360160934,0.00687350966546979,32,0.002104219360021685,0.0007911663525193711,1034544128000,0.0017126155367579998,1.0953678074529038e-05,0.8714790344238281,16949970993152,0.0008181910310557119,100.0
