variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_cpu_energy_process_2,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_global_experiment_results_ram_energy_total,variables_latency_simulation_burst_interval,global_energy_metrics_local_process_results_total_energy_joules_process_0,setup_python_version,global_energy_metrics_local_process_results_gpu_power_process_1,variables_batching_options_max_batch_size___adaptive_batching,variables_decoder_config_decoding_mode,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_local_process_results_ram_power_process_1,variables_latency_simulation_simulate,variables_sharding_config_sharding_strategy,global_energy_metrics_local_process_results_total_energy_kwh_process_1,variables_latency_simulation_delay_max,inference_metrics_raw_inference_metrics_number_input_prompts,setup_model,variables_sharding_config_fsdp_config_cpu_offload,global_energy_metrics_local_process_results_gpu_energy_process_3,compute_metrics_compute_utilisation_gpu_utilization_percent_3,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_global_experiment_results_ram_power_avg,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_local_process_results_total_energy_joules_process_2,variables_max_input_tokens,global_energy_metrics_per-process_emissions_1,setup_region,setup_cpu_model,variables_batching_options_adaptive_batching,variables_quantisation_quantization,compute_metrics_memory_gpu_max_memory_reserved_bytes,global_energy_metrics_global_experiment_results_total_energy_kwh,variables_quantisation_load_in_8bit,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_total_energy_joules_process_1,inference_metrics_inference_performance_average_latency_ms_per_batch,variables_accelerate_config_distributed_type,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_local_process_results_cpu_power_process_2,global_energy_metrics_local_process_results_ram_power_process_0,global_energy_metrics_local_process_results_gpu_power_process_2,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_per-process_emissions_0,setup_is_encoder_decoder,variables_accelerate_config_num_processes,global_energy_metrics_local_process_results_total_energy_kwh_process_2,global_energy_metrics_global_derived_quantities_flops_per_joule,global_energy_metrics_global_experiment_results_total_energy_joules,variables_decode_token_to_text,compute_metrics_compute_utilisation_gpu_utilization_percent_1,compute_metrics_compute_utilisation_gpu_utilization_percent_0,global_energy_metrics_local_process_results_gpu_energy_process_1,compute_metrics_flops,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_inference_type,setup_date_time,setup_country,variables_quantisation_cached_flops_for_quantised_models,inference_metrics_inference_performance_total_inference_time_sec,global_energy_metrics_local_process_results_cpu_energy_process_3,variables_config_name,variables_latency_simulation_delay_min,inference_metrics_inference_performance_throughput_queries_per_sec,variables_fp_precision,global_energy_metrics_local_process_results_total_energy_joules_process_3,variables_query_rate,setup_task_type,global_energy_metrics_experiment_id,global_energy_metrics_local_process_results_ram_energy_process_0,global_energy_metrics_local_process_results_ram_energy_process_3,variables_number_input_prompts,setup_gpu_model,variables_backend,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_global_experiment_results_cpu_energy_total,compute_metrics_memory_gpu_current_memory_allocated_bytes,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_local_process_results_cpu_power_process_3,global_energy_metrics_local_process_results_cpu_power_process_1,inference_metrics_inference_performance_throughput_tokens_per_sec,compute_metrics_memory_gpu_current_memory_reserved_bytes,global_energy_metrics_local_process_results_gpu_power_process_0,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_global_experiment_results_gpu_power_avg,inference_metrics_raw_inference_metrics_total_input_tokens,variables_batching_options_batch_size___fixed_batching,global_energy_metrics_local_process_results_total_energy_kwh_process_0,setup_available_cpu_count,global_energy_metrics_local_process_results_cpu_energy_process_0,variables_latency_simulation_simulate_burst,variables_decoder_config_decoder_temperature,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,variables_latency_simulation_burst_size,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_per-process_emissions_3,variables_batching_options_adaptive_max_tokens,global_energy_metrics_local_process_results_ram_power_process_2,variables_quantisation_load_in_4bit,global_energy_metrics_local_process_results_ram_energy_process_2,setup_os,global_energy_metrics_local_process_results_cpu_energy_process_1,global_energy_metrics_local_process_results_gpu_energy_process_0,compute_metrics_compute_utilisation_cpu_usage_percent,model_architecture_total_params,setup_available_gpu_count,setup_experiment_id,global_energy_metrics_local_process_results_cpu_power_process_0,global_energy_metrics_per-process_emissions_2,model_architecture_architecture,variables_max_output_tokens,global_energy_metrics_local_process_results_ram_energy_process_1,global_energy_metrics_global_derived_quantities_tokens_per_joule
0,NA,NA,1.866476199298718e-05,2.0,26668.492032845188,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,0,greedy,NA,NA,True,NO_SHARD,NA,0.2,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.6728911399841309,1.7353261343600461,1.3170521084495577e-09,NA,128,NA,saxony,AMD EPYC 7742 64-Core Processor,False,False,6448742400,0.007407914453568107,False,0.0,NA,11249.14627031103,DistributedType.MULTI_GPU,NA,NA,0.6728911399841309,NA,4963382784,0.0028220450110867704,False,1,NA,759271401.3245889,26668.492032845188,True,0.0,4.0,NA,20248623316992,0.0018915495687938932,pure_generative,"April 12, 2025 at 09:17:18 PM",Germany,16949970993152,179.98634032497648,NA,R4_High_Load_Cloud_API_Deployment,0.05,0.7111650793548447,torch.float16,NA,1.0,text_generation,0353,1.866476199298718e-05,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.005497700122781226,4963382784,112.5,NA,NA,85.38425734004105,6448742400,37.7473035625276,15368,37.7473035625276,16384,8,0.007407914453568107,128,0.005497700122781226,True,1.0,1929740288,5,False,NA,0,NA,False,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,0.0018915495687938932,81.5,1235814400,1,0353,112.5,NA,Unknown (no config attribute),128,NA,0.5762605542552842
50,NA,NA,4.6775874939662005e-06,0.0,7868.655401291673,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,0,top_k,NA,NA,False,NO_SHARD,NA,0,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.676966667175293,0.4802646118952438,4.6422825174572324e-10,NA,128,NA,saxony,AMD EPYC 7742 64-Core Processor,False,True,2850029568,0.002185737611469909,False,0.0,NA,24947.18094549171,DistributedType.MULTI_GPU,NA,NA,0.676966667175293,NA,1609970688,0.0008326567430894619,False,1,NA,2154112758.6257734,7868.655401291673,True,0.0,0.0,NA,16949970993152,0.0006358974531621708,pure_generative,"April 12, 2025 at 09:19:31 PM",Germany,16949970993152,49.89436189098342,NA,A3_Quantisation_Gaming,0,2.565420122611716,torch.float16,NA,1.0,text_generation,0354,4.6775874939662005e-06,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.0015451625708137726,1609970688,112.5,NA,NA,328.37377569429964,2850029568,0.0,16384,0.0,16384,64,0.002185737611469909,128,0.0015451625708137726,False,1.0,1939718144,0,False,NA,0,NA,True,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,0.0006358974531621708,80.0,749275136,1,0354,112.5,NA,Unknown (no config attribute),128,NA,2.082185476988927
0,0.000989520255156549,201.41520931481045,1.4625292426323099e-05,0.0,18113.264408999694,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",185.32420724737398,0,greedy,0.7105865478515625,0.7010550498962402,False,NO_SHARD,0.002187334895298789,0,128,meta-llama/Llama-3.2-1B,False,0.0022090731561454913,100.0,100.0,0.6945698261260986,2.942308496877997,2.844062826557358e-09,9705.462793547722,128,0.001324187447292712,saxony,AMD EPYC 7742 64-Core Processor,False,True,4636803072,0.013390772892458085,True,0.0,7874.4056230756405,57570.764437987236,DistributedType.MULTI_GPU,0.003476013774229458,112.5,0.667393684387207,193.57273259108436,2039678464,0.0008332652283640738,False,4,0.0026959618870965895,351609672.84624517,48206.782412849105,True,100.0,0.0,0.0013846033299047544,16949970993152,0.008538657942032346,pure_generative,"April 12, 2025 at 09:22:09 PM",Germany,16949970993152,57.570764437987236,0.0012628235162196687,A1_Max_Throughput_Exploit,0,2.2233507102007675,torch.float16,12513.64958722605,1.0,text_generation,0355,4.599407548249793e-06,4.117101864297396e-06,128,4 x NVIDIA A100-PCIE-40GB,pytorch,0.0017031416402897293,0.004837489657999412,2039678464,112.5,112.5,112.5,284.58889090569824,4636803072,226.08901614103695,16384,201.60029132357644,16384,256,0.005031462335833248,128,0.001785023112592625,False,1.0,1912037376,0,False,0.001916735576835676,0,0.6992440223693848,False,3.2999916503113576e-06,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0008001227740305692,0.003241839815692371,82.3,1235814400,4,0355,112.5,0.0010270266808894458,Unknown (no config attribute),128,2.6087913634645527e-06,0.33986918810895345
0,NA,NA,2.863874528635342e-05,0.0,42589.92125081248,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,0,top_p,NA,NA,True,NO_SHARD,NA,0.05,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.6589922904968262,2.707904453891943,2.103348982499584e-09,NA,128,NA,saxony,AMD EPYC 7742 64-Core Processor,False,False,11865686016,0.011830533680781243,False,0.9,NA,8023.060326748237,DistributedType.MULTI_GPU,NA,NA,0.6589922904968262,NA,9905837056,0.004506841805693614,False,1,NA,475432278.86587656,42589.92125081248,True,0.0,19.0,NA,20248623316992,0.003970084009398134,pure_generative,"April 12, 2025 at 09:27:49 PM",Germany,16949970993152,256.73793045594357,NA,R2_Low_Latency_Chatbot_Deployment,0.01,0.4985628721579373,torch.float32,NA,1.0,text_generation,0356,2.863874528635342e-05,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.007831810926096748,9905837056,112.5,NA,NA,61.260912916406554,11865686016,43.8951493414439,15728,43.8951493414439,16384,4,0.011830533680781243,128,0.007831810926096748,False,1.0,1890226176,0,False,NA,0,NA,False,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,0.003970084009398134,78.4,1235814400,1,0356,112.5,NA,Unknown (no config attribute),128,NA,0.36928924820916315
0,NA,NA,0.00022862263482702753,5.0,316795.74851068907,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,0,top_p,NA,NA,True,NO_SHARD,NA,0.6,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.693152904510498,26.16632927320468,1.8690046646019544e-08,NA,128,NA,saxony,AMD EPYC 7742 64-Core Processor,False,True,2764046336,0.08799881903074697,True,0.9,NA,17192.004099780315,DistributedType.MULTI_GPU,NA,NA,0.693152904510498,NA,2038921216,0.033523150109763054,False,1,NA,53504414.35163417,316795.74851068907,True,0.0,0.0,NA,16949970993152,0.020876391701100117,pure_generative,"April 12, 2025 at 10:05:41 PM",Germany,16949970993152,2200.5765247718805,NA,R5_Real_Time_Mobile_Inference,0.2,0.05816657524021753,torch.float16,NA,1.0,text_generation,0357,0.00022862263482702753,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.06689380469481962,2038921216,112.5,NA,NA,5.5017400502602625,2764046336,36.130162998747636,12107,36.130162998747636,16384,1,0.08799881903074697,128,0.06689380469481962,True,1.0,1985253376,8,False,NA,0,NA,False,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,0.020876391701100117,75.2,1235814400,1,0357,112.5,NA,Unknown (no config attribute),128,NA,0.03821705328091388
0,NA,NA,3.6772022146487687e-06,0.0,5182.807609238627,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",188.0490561375381,0,greedy,NA,0.6902003288269043,False,NO_SHARD,0.0010854561510419297,0,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.6750376224517822,0.5548370210564926,5.363106377386857e-10,NA,128,0.00041350452073942313,saxony,AMD EPYC 7742 64-Core Processor,False,True,4001366016,0.0025251249313859928,False,0.0,3907.6421437509466,18797.311820992036,DistributedType.MULTI_GPU,NA,NA,0.6598749160766602,NA,1609970688,0.0005484418218720708,False,2,NA,1864591021.756395,9090.449752989574,True,100.0,0.0,0.0006310638381843425,16949970993152,0.0014345350365172482,pure_generative,"April 12, 2025 at 10:07:27 PM",Germany,16949970993152,18.797311820992036,NA,A2_Precision_Minimalist,0,6.809484314510071,torch.float16,NA,1.0,text_generation,0358,2.0248065445619103e-06,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.001086912692654096,1609970688,112.5,NA,112.5,871.613992257289,4001366016,0.0,16384,94.02452806876904,16384,128,0.001439668780344063,128,0.0006341727754665955,False,1.0,1890508800,0,False,NA,0,NA,True,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.00045273991718750044,0.0008034711983329057,76.3,749275136,2,0358,112.5,NA,Unknown (no config attribute),128,1.6523956700868584e-06,1.8023310666902699
0,0.0010480794316581527,211.45485816746364,1.5962556735947376e-05,0.0,10862.200402949535,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",285.5089517147027,0,greedy,0.6795816421508789,0.6872262954711914,True,NO_SHARD,0.0027523535324300314,0.1,128,meta-llama/Llama-3.2-1B,False,0.00230065600719076,100.0,100.0,0.6822584867477417,2.710138163300883,2.1928850654385063e-09,11038.506759371827,128,0.0013326608547807952,saxony,AMD EPYC 7742 64-Core Processor,False,False,7029653504,0.012334139907644908,False,0.0,9908.472716748112,8309.598243500659,DistributedType.MULTI_GPU,0.003498256607903387,112.5,0.6743888854980469,213.2903627434687,4963390464,0.0010485090781792205,False,4,0.003066251877603285,456020251.93237025,44402.90366752167,True,100.0,2.0,0.0018042842212040444,20248623316992,0.008101558425688715,pure_generative,"April 12, 2025 at 10:09:33 PM",Germany,16949970993152,33.238392974002636,0.0011930980351553449,R6_Medium_Scale_Language_Model_Serving,0.01,3.850968369623496,torch.float16,12593.723788452193,1.0,text_generation,0359,3.951859516783522e-06,4.502565557283364e-06,128,4 x NVIDIA A100-PCIE-40GB,pytorch,0.0020140341112266924,0.004216618925220247,4963390464,112.5,112.5,112.5,492.9239513118075,7029653504,210.91947710464606,16384,230.29341243257025,16384,32,0.0030172778897082043,128,0.001030741944124202,False,1.0,1934356480,0,False,0.0011680886527729714,0,0.6878371238708496,False,4.1383347184401105e-06,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0009446995142825473,0.0019825840860672184,77.5,1235814400,4,0359,112.5,0.0011494320120843404,Unknown (no config attribute),128,3.369796943440382e-06,0.3689848781665153
0,0.0005720863712504069,398.0342521582222,8.26310200638131e-06,0.0,6255.38037584248,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",228.27111588972545,0,greedy,0.6825485229492189,0.6748566627502441,False,NO_SHARD,0.002389148241572531,0,128,meta-llama/Llama-3.2-1B,False,0.001329902730587973,100.0,100.0,0.6770596504211426,1.7654677950837716,1.4285131340449808e-09,7425.64419753369,128,0.0007857775436251276,saxony,AMD EPYC 7742 64-Core Processor,False,False,7029653504,0.008034840098514587,False,0.0,8600.933669661112,7753.79814599728,DistributedType.MULTI_GPU,0.0018454072532264533,112.5,0.6725034713745117,298.94050716835,4963390464,0.0007030078931166174,False,4,0.0020626789437593585,700028565.4836073,28925.424354652518,True,100.0,3.0,0.001708589700204488,20248623316992,0.005774536564070454,pure_generative,"April 12, 2025 at 10:11:17 PM",Germany,16949970993152,15.50759629199456,0.0005135501101876798,A5_Parallel_Overdrive,0,8.254019358633746,torch.float16,6643.466111615232,1.0,text_generation,0360,1.7617369143337465e-06,1.954412450800924e-06,128,4 x NVIDIA A100-PCIE-40GB,pytorch,0.0014885173019243414,0.002252040432437752,4963390464,112.5,112.5,112.5,1056.5144779051195,7029653504,464.75391146685706,16384,347.4999466707887,16384,64,0.0017376056599562445,128,0.0004883170916882591,False,1.0,1928949760,0,False,0.0009101460226270556,0,0.6783299446105957,False,2.075270584610214e-06,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.0006780868593114064,0.0012475268313536514,77.5,1235814400,4,0360,112.5,0.0006619408761603313,Unknown (no config attribute),128,2.4716820566364255e-06,0.5664221136090165
0,NA,NA,1.5572047911509652e-05,0.0,19808.075844687566,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NA,0,greedy,NA,NA,False,NO_SHARD,NA,0,128,meta-llama/Llama-3.2-1B,False,NA,0.0,0.0,0.685572624206543,1.2089890041923563,1.1686200438154306e-09,NA,128,NA,saxony,AMD EPYC 7742 64-Core Processor,False,True,2751463424,0.005502243290190991,True,0.0,NA,16585.763441247764,DistributedType.MULTI_GPU,NA,NA,0.685572624206543,NA,2039254528,0.002096079581398258,False,1,NA,855710121.7732818,19808.075844687566,True,0.0,0.0,NA,16949970993152,0.0014420658758740323,pure_generative,"April 12, 2025 at 10:14:41 PM",Germany,16949970993152,132.6861075299821,NA,default,0,0.9646827567918275,torch.float16,NA,1.0,text_generation,0361,1.5572047911509652e-05,NA,128,4 x NVIDIA A100-PCIE-40GB,pytorch,NA,0.004044605366405448,2039254528,112.5,NA,NA,123.47939286935392,2751463424,39.80996132827895,16384,39.80996132827895,16384,16,0.005502243290190991,128,0.004044605366405448,False,1.0,1963819008,0,False,NA,0,NA,False,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,0.0014420658758740323,73.8,1235814400,1,0361,112.5,NA,Unknown (no config attribute),128,NA,0.8271373821700159
50,0.00322139783318744,170.76927788997364,4.5264910005370536e-05,4.0,23466.686619828793,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",203.44796609595573,0,top_k,0.7358450889587402,0.7396245002746582,True,NO_SHARD,0.007751942750555798,1.5,128,meta-llama/Llama-3.2-1B,False,0.0033497701798141932,100.0,100.0,0.7293723821640015,6.165337772054036,5.959472974800004e-09,29055.945293456432,128,0.0030746839887617304,saxony,AMD EPYC 7742 64-Core Processor,False,True,3024093184,0.028059137238148145,True,0.0,27906.99390200087,21679.389946999436,DistributedType.MULTI_GPU,0.005717574511679785,112.5,0.7035884857177734,208.7561242148867,2039428096,0.002483231741062161,False,4,0.00807109591484901,167800072.96426398,101012.89405733332,True,100.0,0.0,0.004625043700031695,16949970993152,0.0166483610964554,pure_generative,"April 12, 2025 at 10:20:11 PM",Germany,16949970993152,86.71755978799774,0.0023579812592511183,R3_Balanced_Enterprise_Service,0.5,1.4760562948603173,torch.float16,20583.268242047227,1.0,text_generation,0365,1.0304814595808455e-05,9.823072614472965e-06,128,4 x NVIDIA A100-PCIE-40GB,pytorch,0.004837208591984998,0.01136551123168738,2039428096,112.5,112.5,112.5,188.93520574212062,3024093184,195.24917482733852,16384,194.55563575703866,16384,32,0.006518524061063554,128,0.0026718806218432286,True,1.0,2015674368,5,False,0.002953102590824231,0,0.738431453704834,False,1.2489489676574686e-05,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.003114251517405592,0.0038363386246245135,73.6,1235814400,4,0365,112.5,0.0021781100102244142,Unknown (no config attribute),128,1.2647533118514433e-05,0.16219711506038725
